Longitud de onda,M1,M2
769.5,19.132,0.652
770,19.363,1.062
770.5,19.581,1.456
771,19.695,1.541
771.5,19.781,1.614
772,19.682,1.605
772.5,19.408,1.365
773,19.057,0.92
773.5,18.816,0.521
774,18.877,0.365
774.5,18.932,0.442
775,19.468,0.84
775.5,19.913,1.188
776,20.488,1.532
776.5,20.79,1.9
777,20.595,1.995
777.5,20.375,1.872
778,19.963,1.634
778.5,19.557,1.28
779,19.057,0.918
779.5,18.66,0.877
780,18.651,0.865
780.5,18.671,0.799
781,19.153,1.225
781.5,19.391,1.637
782,19.309,1.816
782.5,19.486,1.955
783,19.38,1.972
783.5,19.366,1.966
784,19.137,1.94
784.5,18.927,1.76
785,18.849,1.516
785.5,18.597,1.217
786,18.298,0.89
786.5,17.794,0.472
787,17.39,0.045
787.5,17.246,-0.181
788,16.99,-0.512
788.5,17.138,-0.583
789,17.306,-0.596
789.5,17.637,-0.646
790,18.071,-0.387
790.5,18.188,-0.197
791,18.248,-0.182
791.5,18.282,-0.08
792,18.113,-0.031
792.5,17.595,-0.023
793,16.831,-0.356
793.5,16.468,-0.534
794,16.33,-0.367
794.5,16.516,-0.113
795,16.625,0.076
795.5,16.792,0.06
796,17.168,0.093
796.5,17.296,-0.013
797,17.232,-0.264
797.5,17.194,-0.427
798,17.274,-0.593
798.5,17.405,-0.688
799,17.746,-0.383
799.5,18.148,-0.072
800,18.452,0.299
800.5,18.746,0.704
801,18.788,0.933
801.5,18.584,1
802,18.23,0.813
802.5,18.07,0.69
803,17.904,0.55
803.5,17.528,0.223
804,17.144,-0.134
804.5,16.781,-0.558
805,16.581,-0.784
805.5,16.515,-0.94
806,16.473,-1.11
806.5,16.307,-1.262
807,16.041,-1.366
807.5,16.241,-1.134
808,16.281,-0.924
808.5,16.41,-0.803
809,16.347,-0.933
809.5,16.492,-0.953
810,16.822,-0.937
810.5,17.352,-0.724
811,17.677,-0.651
811.5,17.768,-0.478
812,18.061,-0.054
812.5,18.442,0.289
813,18.766,0.575
813.5,19.167,0.947
814,19.317,1.323
814.5,19.395,1.559
815,19.022,1.567
815.5,18.54,1.585
816,18.056,1.362
816.5,17.585,1.314
817,17.174,1.07
817.5,16.848,0.82
818,16.946,0.788
818.5,16.949,0.728
819,17.038,0.663
819.5,17.127,0.505
820,16.941,0.305
820.5,16.734,-0.069
821,16.701,-0.319
